K,Dataset,Distance,Voting,Retention,Fold,Accuracy,Time_per_instance_ms,Reduction,Storage_percent,Train_size,Test_size,Instance_base_final_size
5,pen-based,Euclidean,BordaCount,NR,0,0.982695810564663,2.5546531208225938,ICF,5.963210026278553,9894,1098,590
5,pen-based,Euclidean,BordaCount,NR,1,0.9663330300272975,2.467690000108852,ICF,5.832406752249065,9893,1099,577
5,pen-based,Euclidean,BordaCount,NR,2,0.9772105742935278,2.516868881670692,ICF,5.952501263264275,9895,1097,589
5,pen-based,Euclidean,BordaCount,NR,3,0.9827272727272728,2.594542720101096,ICF,6.156490093004448,9892,1100,609
5,pen-based,Euclidean,BordaCount,NR,4,0.9754098360655737,2.4726775174583895,ICF,5.87224580553871,9894,1098,581
5,pen-based,Euclidean,BordaCount,NR,5,0.982695810564663,2.6311416226440874,ICF,6.367495451788963,9894,1098,630
5,pen-based,Euclidean,BordaCount,NR,6,0.9800362976406534,2.572590556205293,ICF,6.228513650151668,9890,1102,616
5,pen-based,Euclidean,BordaCount,NR,7,0.98,2.4427364089272237,ICF,5.913869793772745,9892,1100,585
5,pen-based,Euclidean,BordaCount,NR,8,0.9808743169398907,2.4289704845685556,ICF,5.87224580553871,9894,1098,581
5,pen-based,Euclidean,BordaCount,NR,9,0.9791288566243194,2.496366059498865,ICF,5.955510616784631,9890,1102,589
